Year,UK,Overseas,Month,UK_Visits_M,OS_Visits_M
1996,16.24 ,12.27 ,Jan,1.30 ,0.95
1996,16.24 ,12.27 ,Feb,1.36 ,1.05
1996,16.24 ,12.27 ,Mar,1.37 ,1.00
1996,16.24 ,12.27 ,Apr,1.38 ,1.00
1996,16.24 ,12.27 ,May,1.27 ,1.02
1996,16.24 ,12.27 ,Jun,1.27 ,1.03
1996,16.24 ,12.27 ,Jul,1.33 ,1.02
1996,16.24 ,12.27 ,Aug,1.36 ,1.04
1996,16.24 ,12.27 ,Sep,1.36 ,1.03
1996,16.24 ,12.27 ,Oct,1.43 ,1.10
1996,16.24 ,12.27 ,Nov,1.36 ,1.01
1996,16.24 ,12.27 ,Dec,1.45 ,1.02
1997,16.93 ,12.22 ,Jan,1.34 ,1.03
1997,16.93 ,12.22 ,Feb,1.34 ,0.97
1997,16.93 ,12.22 ,Mar,1.44 ,0.98
1997,16.93 ,12.22 ,Apr,1.36 ,0.99
1997,16.93 ,12.22 ,May,1.37 ,0.98
1997,16.93 ,12.22 ,Jun,1.46 ,1.03
1997,16.93 ,12.22 ,Jul,1.41 ,1.04
1997,16.93 ,12.22 ,Aug,1.42 ,1.02
1997,16.93 ,12.22 ,Sep,1.41 ,1.05
1997,16.93 ,12.22 ,Oct,1.41 ,1.05
1997,16.93 ,12.22 ,Nov,1.49 ,1.03
1997,16.93 ,12.22 ,Dec,1.48 ,1.05
1998,19.64 ,12.74 ,Jan,1.49 ,1.03
1998,19.64 ,12.74 ,Feb,1.76 ,1.09
1998,19.64 ,12.74 ,Mar,1.58 ,0.98
1998,19.64 ,12.74 ,Apr,1.54 ,1.09
1998,19.64 ,12.74 ,May,1.76 ,1.09
1998,19.64 ,12.74 ,Jun,1.51 ,1.05
1998,19.64 ,12.74 ,Jul,1.51 ,1.03
1998,19.64 ,12.74 ,Aug,1.56 ,1.02
1998,19.64 ,12.74 ,Sep,1.70 ,1.07
1998,19.64 ,12.74 ,Oct,1.67 ,1.04
1998,19.64 ,12.74 ,Nov,1.79 ,1.06
1998,19.64 ,12.74 ,Dec,1.77 ,1.19
1999,22.01 ,12.54 ,Jan,1.89 ,1.06
1999,22.01 ,12.54 ,Feb,1.79 ,1.08
1999,22.01 ,12.54 ,Mar,1.73 ,1.13
1999,22.01 ,12.54 ,Apr,1.78 ,0.96
1999,22.01 ,12.54 ,May,1.86 ,1.01
1999,22.01 ,12.54 ,Jun,1.82 ,1.08
1999,22.01 ,12.54 ,Jul,1.84 ,1.03
1999,22.01 ,12.54 ,Aug,1.84 ,1.04
1999,22.01 ,12.54 ,Sep,1.81 ,1.01
1999,22.01 ,12.54 ,Oct,1.98 ,1.05
1999,22.01 ,12.54 ,Nov,1.82 ,1.07
1999,22.01 ,12.54 ,Dec,1.85 ,1.02
2000,24.11 ,12.73 ,Jan,1.91 ,1.06
2000,24.11 ,12.73 ,Feb,1.86 ,0.99
2000,24.11 ,12.73 ,Mar,1.85 ,1.04
2000,24.11 ,12.73 ,Apr,1.93 ,1.18
2000,24.11 ,12.73 ,May,2.03 ,1.12
2000,24.11 ,12.73 ,Jun,2.03 ,1.03
2000,24.11 ,12.73 ,Jul,2.06 ,1.08
2000,24.11 ,12.73 ,Aug,2.02 ,1.05
2000,24.11 ,12.73 ,Sep,2.09 ,1.05
2000,24.11 ,12.73 ,Oct,2.10 ,1.08
2000,24.11 ,12.73 ,Nov,2.18 ,1.06
2000,24.11 ,12.73 ,Dec,2.06 ,1.02
2001,25.24 ,11.39 ,Jan,2.06 ,1.08
2001,25.24 ,11.39 ,Feb,2.08 ,1.08
2001,25.24 ,11.39 ,Mar,2.22 ,1.11
2001,25.24 ,11.39 ,Apr,2.18 ,0.96
2001,25.24 ,11.39 ,May,2.11 ,0.87
2001,25.24 ,11.39 ,Jun,2.12 ,0.99
2001,25.24 ,11.39 ,Jul,2.14 ,0.96
2001,25.24 ,11.39 ,Aug,2.26 ,0.97
2001,25.24 ,11.39 ,Sep,2.07 ,0.92
2001,25.24 ,11.39 ,Oct,1.98 ,0.78
2001,25.24 ,11.39 ,Nov,2.17 ,0.90
2001,25.24 ,11.39 ,Dec,1.85 ,0.78
2002,26.92 ,11.69 ,Jan,2.02 ,0.91
2002,26.92 ,11.69 ,Feb,2.20 ,0.91
2002,26.92 ,11.69 ,Mar,2.27 ,0.92
2002,26.92 ,11.69 ,Apr,2.29 ,0.97
2002,26.92 ,11.69 ,May,2.16 ,0.95
2002,26.92 ,11.69 ,Jun,2.31 ,0.98
2002,26.92 ,11.69 ,Jul,2.22 ,1.03
2002,26.92 ,11.69 ,Aug,2.25 ,0.96
2002,26.92 ,11.69 ,Sep,2.27 ,1.02
2002,26.92 ,11.69 ,Oct,2.38 ,0.99
2002,26.92 ,11.69 ,Nov,2.24 ,1.00
2002,26.92 ,11.69 ,Dec,2.31 ,1.05
2003,28.58 ,11.84 ,Jan,2.36 ,0.99
2003,28.58 ,11.84 ,Feb,2.34 ,0.97
2003,28.58 ,11.84 ,Mar,2.28 ,0.96
