Id,Period,Holiday,Business,Visit Friends or Relatives,Miscellaneous
Overseas,1996,10.987 ,6.095 ,4.898 ,3.182
Overseas,1997,10.803 ,6.347 ,5.155 ,3.209
Overseas,1998,10.475 ,6.882 ,5.400 ,2.988
Overseas,1999,9.826 ,7.044 ,5.640 ,2.884
Overseas,2000,9.302 ,7.322 ,5.834 ,2.750
Overseas,2001,7.585 ,6.778 ,5.898 ,2.574
Overseas,2002,7.735 ,7.158 ,6.398 ,2.888
Overseas,2003,7.973 ,6.967 ,6.978 ,2.797
Overseas,2004,9.275 ,7.470 ,7.861 ,3.149
Overseas,2005,9.713 ,8.168 ,8.687 ,3.401
Overseas,2006,10.566 ,9.019 ,9.406 ,3.722
Overseas,2007,10.758 ,8.845 ,9.720 ,3.456
Overseas,2008,10.923 ,8.124 ,9.727 ,3.113
Overseas,2009,11.424 ,6.579 ,8.783 ,3.103
Overseas,2010,11.668 ,6.793 ,8.408 ,2.935
Overseas,2011,12.008 ,7.238 ,8.841 ,2.710
Overseas,2012,11.961 ,7.422 ,8.948 ,2.752
Overseas,2013,12.668 ,7.898 ,9.313 ,2.813
Overseas,2014,13.578 ,8.277 ,9.756 ,2.766
Overseas,2015,13.857 ,8.865 ,10.451 ,2.943
Overseas,2016,13.899 ,9.187 ,11.565 ,2.958
UK,1996,26.765 ,6.879 ,5.502 ,2.904
UK,1997,29.138 ,7.166 ,6.004 ,3.649
UK,1998,32.306 ,8.033 ,6.452 ,4.082
UK,1999,35.023 ,8.161 ,6.598 ,4.100
UK,2000,36.685 ,8.872 ,7.178 ,4.102
UK,2001,38.670 ,8.220 ,7.727 ,3.664
UK,2002,39.902 ,8.073 ,7.870 ,3.532
UK,2003,41.197 ,7.892 ,8.527 ,3.807
UK,2004,42.912 ,8.140 ,9.799 ,3.343
UK,2005,44.175 ,8.556 ,10.648 ,3.063
UK,2006,45.287 ,9.102 ,11.963 ,3.184
UK,2007,45.437 ,9.018 ,12.214 ,2.781
UK,2008,45.531 ,8.920 ,12.392 ,2.168
UK,2009,38.492 ,6.887 ,11.592 ,1.643
UK,2010,36.422 ,6.639 ,10.850 ,1.652
UK,2011,36.819 ,6.846 ,11.594 ,1.576
UK,2012,36.173 ,6.956 ,11.797 ,1.612
UK,2013,37.149 ,6.750 ,12.313 ,1.580
UK,2014,38.519 ,6.756 ,13.272 ,1.535
UK,2015,42.150 ,7.149 ,14.729 ,1.691
UK,2016,45.020 ,7.156 ,16.603 ,2.036
